unitid,input_year,outcome_year,outcome_lag,instnm,sector,ccbasic,stabbr,base_level,finance_form,instr_exp_per_fte,stud_serv_exp_per_fte,total_exp,total_fte,total_enrollment_ipeds,faculty_fte,stud_fac_ratio,pell_pct,sal_instr_avg_9mo,sal_noninstr_avg,total_sal_per_fte,total_completions,admit_rate,sat75,act75,yield_rate,grad_rate_150_4yr,grad_rate_150_2yr,grad_rate_200_4yr,grad_rate_200_2yr,median_earnings_6yr,median_earnings_10yr,loan_repayment_3yr,completion_rate_sc,retention_rate_sc,instr_exp_per_fte_missing,total_exp_missing,total_fte_missing,total_enrollment_ipeds_missing,faculty_fte_missing,pell_pct_missing,sal_instr_avg_9mo_missing,sal_noninstr_avg_missing,total_sal_per_fte_missing,total_completions_missing,admit_rate_missing,sat75_missing,act75_missing,yield_rate_missing,instr_exp_per_fte_log,stud_serv_exp_per_fte_log,total_exp_log,sal_instr_avg_9mo_log,sal_noninstr_avg_log,total_sal_per_fte_log,median_earnings_6yr_log,median_earnings_10yr_log,instr_exp_per_fte_z,stud_serv_exp_per_fte_z,total_exp_z,total_fte_z,total_enrollment_ipeds_z,faculty_fte_z,stud_fac_ratio_z,pell_pct_z,sal_instr_avg_9mo_z,sal_noninstr_avg_z,total_sal_per_fte_z,total_completions_z,admit_rate_z,sat75_z,act75_z,yield_rate_z,resource_concentration_idx,student_support_intensity,sat_act_composite,value_added_proxy,selectivity_composite,financial_health_idx
100654,2015,2017,2,Alabama A & M University,1,18,AL,2-year,GASB,4818.212534059946,2679.3463896457765,58814815,5872,5628,244,24.06557377,0.74,50466,45574.335249042146,6672.122615803814,1274,0.6538412859131756,475,19,0.28281068524970965,0.2395709177592372,NA,0.35,NA,NA,NA,NA,0.2396,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.480365819,7.893701315020685,17.88990435391816,10.829074936315378,10.727121955505375,8.805843187649193,0,0,-0.286730013,-0.161123309,-0.186560514,-0.207755461,-0.103201066,-0.033951903,-0.344376189,1.4590489055859965,-0.835584964,-0.863407262,-0.018214739,-0.400529148,-0.300883429,-2.896704464,-2.838844385,0.1106256452550048,0.9404720623069474,2679.3463896457765,-2.867774424,0.012263853068601067,3.438158477767181,-0.125554601
100663,2015,2019,4,University of Alabama at Birmingham,1,15,AL,4-year,GASB,13075.001841620626,2138.318784530387,58814815,21720,18333,2268,9.576719576719576,0.34,85427,54719.30692431562,12098.484622467771,9242,0.6042752867570386,649,28,0.3496548748921484,0.6340474811812391,1,0.57,NA,NA,NA,NA,0.634,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.478533908683845,7.668242732353944,17.88990435391816,11.355429194891874,10.909990161277697,9.400918137493235,0,0,0.7097782962647113,-0.311227763,-0.186560514,1.0316422505140588,1.1678320096012351,3.965527908604069,-0.441665227,-0.597816873,0.750706416,-0.154094585,0.40360525572360934,1.0977342548602513,-0.611307843,0.8928101379838307,0.7207855,0.619353107,0.5856922667995862,2138.318784530387,0.8067978191695103,-4.57E-04,-1.378951905,0.039788636
100690,2015,2017,2,Amridge University,2,21,AL,2-year,FASB_NP,2601.6046511627906,874.0313953488372,7713852,860,627,36,23.88888888888889,0.83,73403,62203.22580645161,3689.6674418604657,302,0.7226534932956952,605,26,0.241832305,0.18181818181818185,1,0.29,NA,NA,NA,NA,0.1818,NA,0,0,0,0,0,0,1,0,0,0,1,1,1,1,7.864268011462704,6.774259766,15.858528361307394,11.203733709030566,11.038178215429998,8.213562599230992,0,0,-0.554251454,-0.661995758,-0.264201532,-0.599720462,-0.603510897,-0.444965638,-0.345562584,1.9218437056737108,0.20513942561748985,0.42638162947876956,-0.25005685,-0.583299232,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.8136056927482358,874.0313953488372,-0.067850643,-0.161097489,0.174963732,-0.248000851
100706,2015,2019,4,University of Alabama in Huntsville,1,15,AL,4-year,GASB,7984.591290172333,2252.440731252911,58814815,8588,7866,321,26.753894080996886,0.25,78590,67990.40793489318,11119.182231020028,3280,0.8119709794437727,665,30,0.3864482501861504,0.5768025078369906,NA,0.52,NA,NA,NA,NA,0.5768,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.985394108023046,7.720213541031741,17.88990435391816,11.27201246804444,11.127136622276288,9.316516955351954,0,0,0.095418862,-0.2795654,-0.186560514,0.004650154,0.12069283610210561,0.1182022207105009,-0.32632479,-1.060611673,0.4404900560737377,0.8752536210696632,0.32747886958999084,-0.023330806,0.6894591110897073,1.2412712507923087,1.5118143637827477,0.8993744602451015,0.7602198841178275,2252.440731252911,1.376542807287528,-0.134634041,-1.570064295,0.027542015116960222
100724,2015,2017,2,Alabama State University,1,18,AL,2-year,GASB,6533.0381728158445,2779.4647819837087,58814815,6261,5383,254,24.6496063,0.75,52074,44925.647569444445,7194.381568439547,1466,0.46385830540928674,455,19,0.26341589267285864,0.2768670309653916,NA,0.3,NA,NA,NA,NA,0.2769,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.784780434325745,7.93037338,17.88990435391816,10.860440266129173,10.712786384756576,8.881194650359989,0,0,-0.079768453,-0.133346137,-0.186560514,-0.177333597,-0.127711345,-0.014191627,-0.340454557,1.5104705500401872,-0.762624908,-0.913721512,0.022383228706909626,-0.364426415,-1.490718325,-3.332280855,-2.838844385,-0.036981255,0.8794075623163323,2779.4647819837087,-3.08556262,0.066935116,3.217480130267284,-0.109135686
100751,2015,2019,4,The University of Alabama,1,16,AL,4-year,GASB,9102.996324625012,1541.3071918148405,58814815,40268,37098,1328,30.322289156626507,0.18,99200,53858.651529636714,8574.356809377174,16876,0.5358671933265199,605,31,0.3717010309278351,0.7110415035238841,NA,0.7,NA,NA,NA,NA,0.711,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.116468752656123,7.341034750764045,17.88990435391816,11.504903373867316,10.894136896415894,9.056647881591445,0,0,0.23039867864643726,-0.476864596,-0.186560514,2.4821942921972524,3.045119349881274,2.1080619884089207,-0.302363908,-1.420563184,1.3756310805008185,-0.220849716,0.12965604756641172,2.5331939458759174,-1.039737466,-0.065457922,1.9073287954965266,0.7871385955610075,0.5966757369075543,1541.3071918148405,0.9209354366285213,-0.008877785,-1.731169844,-0.104962693
100760,2015,2019,4,Central Alabama Community College,4,2,AL,4-year,GASB,3541.4477244772447,1056.519475194752,58814815,2439,1787,54,45.166666666666664,0.59,56032,52369.4,2761.3759737597375,636,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.32,NA,NA,NA,0.1706,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,8.172573214780511,6.9636813270106686,17.88990435391816,10.933696081870927,10.866096825205029,7.923846448,0,0,-0.440822202,-0.611365673,-0.186560514,-0.476234281,-0.487462226,-0.409397142,-0.20268762,0.6877242387731393,-0.583037903,-0.336360734,-0.322217886,-0.52049552,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.7776270550219275,1056.519475194752,-0.067850643,NA,0.17496373154072156,-0.189654832
100812,2015,2017,2,Athens State University,1,22,AL,2-year,GASB,3490.449814126394,587.0994423791822,58814815,4304,3041,80,53.8,0.43,72635,56851.051094890514,3199.102695167286,1638,0.7226534932956952,605,26,0.241832305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,0,0,1,1,1,1,8.158072348,6.376896053291991,17.88990435391816,11.193215945679688,10.948207577593644,8.070938181,0,0,-0.446977118,-0.74160309,-0.186560514,-0.330381383,-0.362009611,-0.358020425,-0.144716943,-0.135022072,0.17029283140303095,0.011250177,-0.288191059,-0.332084384,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.5945766780702076,587.0994423791822,-0.067850643,NA,0.17496373154072156,-0.237791404
100830,2015,2017,2,Auburn University at Montgomery,1,18,AL,2-year,GASB,4612.077978689054,1182.203261220536,58814815,6194,4919,191,32.42931937172775,0.48,43712,48293.98082191781,4955.286406199548,1704,0.7870890136327185,530,23,0.31584309730005095,0.2764811490125673,NA,0.26,NA,NA,NA,NA,0.2765,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.436650588,7.075980667664374,17.88990435391816,10.685400819681965,10.785082917510467,8.508412031,0,0,-0.311608303,-0.576495556,-0.186560514,-0.182573352,-0.174130814,-0.138681364,-0.288215726,0.12208615,-1.142035351,-0.652463024,-0.151673553,-0.31967407,0.5336270932836271,-1.698869389,-1.256786658,0.36202363860760767,0.729913903,1182.203261220536,-1.477828023,-0.158448695,2.0223485194471333,-0.195530529
100858,2015,2019,4,Auburn University,1,16,AL,4-year,GASB,9053.177082958107,998.0438745001982,58814815,27761,27287,1216,22.829769736842103,0.13,95081,57354.07349726776,11752.855048449264,12838,0.7766045122076852,640,30,0.3251309942296213,0.791113519,NA,0.79,NA,NA,NA,NA,0.7911,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.110981486337675,6.9067986961027845,17.88990435391816,11.462494956170863,10.95701658415937,9.371936554992528,0,0,0.22438601604611502,-0.627589333,-0.186560514,1.5040805125265762,2.0636077007745612,1.8867469000452433,-0.352674305,-1.677671406,1.1887389951240526,0.050266171861905753,0.37673763,1.773908350863963,0.467964234,0.6968007620290618,1.5118143637827477,0.43271053386070973,0.46675930154085965,998.0438745001982,1.1043075629059047,0.036062219,-1.247311752,0.022680871618114995
