feature,shap_mean_abs,perm_importance
pell_pct,0.040115674391142504,0.6534788903891424
sal_noninstr_avg,0.01232762771236297,0.06490857011722276
selectivity_composite,0.007504819668046077,0.04384853479580678
value_added_proxy,0.003076127763382311,0.010736927359278937
stud_fac_ratio,0.0016422635233321544,0.0033508882235921524
total_fte,0.00013071261009289215,0.00021323565186871508
instr_exp_per_fte,0.0,0.0
stud_serv_exp_per_fte,0.0,0.0
sal_instr_avg_9mo,0.0,0.0
faculty_fte,0.0,0.0
total_enrollment_ipeds,0.0,0.0
total_exp,0.0,0.0
total_sal_per_fte,0.0,0.0
sector,0.0,0.0
total_completions,0.0,0.0
outcome_lag,0.0,0.0
student_support_intensity,0.0,0.0
resource_concentration_idx,0.0,0.0
financial_health_idx,0.0,0.0
