feature,shap_mean_abs,perm_importance
pell_pct,0.049885210845314776,0.9060469670522918
instr_exp_per_fte,0.03864401138100107,0.5519416691858416
stud_fac_ratio,0.03295103086188196,0.40218561522369345
stud_serv_exp_per_fte,0.017288225439674534,0.13635338396702917
selectivity_composite,0.010463032187750269,0.06714630915490799
value_added_proxy,0.007340701031905173,0.03760691907141171
faculty_fte,0.006309881977494433,0.047349157275585016
sal_noninstr_avg,0.004679296242291461,0.025050325979275413
financial_health_idx,0.004455975880149926,0.01634143894536093
total_fte,0.004006241211428087,0.010844048198940382
outcome_lag,0.00383211440539189,0.017074675192264188
student_support_intensity,0.002810206934633794,0.006025179320912543
total_enrollment_ipeds,0.0027454295067670413,0.013310043098421997
total_completions,0.0024563509534815168,0.016198405204745702
resource_concentration_idx,0.002307550655041869,0.010304047665274785
total_exp,0.002275083595808238,0.011620530832839926
sal_instr_avg_9mo,0.002184185831445104,0.015019084305347697
total_sal_per_fte,0.0019463166050482411,0.010518528143031013
sector,0.0012910799701774415,0.00493985337289593
