feature,shap_mean_abs,perm_importance
pell_pct,0.04739782178524089,0.9153402449791008
stud_fac_ratio,0.018253366220063894,0.1972366429077166
instr_exp_per_fte,0.015786535315450646,0.164843974145278
stud_serv_exp_per_fte,0.006961872985915528,0.03984488119160697
student_support_intensity,0.00691451948288103,0.040083920137561437
selectivity_composite,0.006910998605662266,0.06418293599027486
sal_noninstr_avg,0.006352309893949993,0.0506192058744248
value_added_proxy,0.002797756519837965,0.016690890466679965
faculty_fte,0.002561332912545177,0.02799414620425823
outcome_lag,0.0020982711010192148,0.014554781008796392
total_sal_per_fte,0.0018234457288786895,0.020554058373482474
resource_concentration_idx,0.0017552242995810298,0.017524576200606212
sal_instr_avg_9mo,0.0017118902618525596,0.016111835986194544
total_fte,0.0016795877198909003,0.013101152412183847
total_exp,0.0014857619261028718,0.012556694376457534
total_completions,0.0014578343789063185,0.017625733871110973
total_enrollment_ipeds,0.0012778601002237863,0.013214547236944374
financial_health_idx,0.0010610140048731636,0.01623539923757449
sector,0.00032245938151867357,0.0026879503584939846
