feature,shap_mean_abs,perm_importance
pell_pct,0.05315846610914993,0.2889172364139304
instr_exp_per_fte,0.027454256734992563,0.0929224233139822
selectivity_composite,0.02264222373203041,0.07220995821860829
total_sal_per_fte,0.016909946979554346,0.04759519913302446
total_completions,0.0157911718452492,0.0517431607466452
sector,0.012091385389425831,0.030124372270767853
faculty_fte,0.007395659288438971,0.017848513498753292
sal_instr_avg_9mo,0.005516708306320291,0.013685522893225489
financial_health_idx,0.004125973785726136,0.008038216161685808
stud_fac_ratio,0.00407659247653946,0.01411449988260428
stud_serv_exp_per_fte,0.0030313225397640745,0.007487124808826451
total_exp,0.0030059667626918126,0.008737791291299512
student_support_intensity,0.0028768411643023068,0.007812325412303122
sal_noninstr_avg,0.0025347280133482136,0.009482293183387013
total_enrollment_ipeds,0.0023404280543751505,0.009628994004580083
total_fte,0.0022528526335850677,0.008672213006760732
resource_concentration_idx,0.0016955071211000633,0.005253637620738627
outcome_lag,0.00019601687415098866,0.000612164578580765
