feature,shap_mean_abs,perm_importance
pell_pct,0.04859439094734437,0.2326471252433137
total_completions,0.0400709157313053,0.19034956834604985
selectivity_composite,0.028079220802171612,0.09736565090282948
sector,0.022779499437137463,0.0449165884795049
instr_exp_per_fte,0.020594282779648383,0.055632412580493965
total_sal_per_fte,0.0153044217022067,0.03261124590156493
total_fte,0.012228967214753946,0.030367494915085013
total_enrollment_ipeds,0.011213842020786208,0.01469216961654497
faculty_fte,0.009798413538548998,0.02543567351709871
stud_fac_ratio,0.008990737841989822,0.025564307564102707
sal_instr_avg_9mo,0.007172992545639978,0.013540598942534654
total_exp,0.004993710791804795,0.012618576454907516
financial_health_idx,0.004069639307802186,0.003978760567969752
sal_noninstr_avg,0.003966644675166199,0.010674772721878478
stud_serv_exp_per_fte,0.003850723610123375,0.010949644474630926
resource_concentration_idx,0.003561887596772466,0.004492258931101301
outcome_lag,0.001406635118881437,0.0011834070391033458
student_support_intensity,0.0009442283930989134,0.0009679460400864537
