feature,shap_mean_abs,perm_importance
pell_pct,0.07197330810626253,0.5567990115227276
outcome_lag,0.02629532438378756,0.04210016461171664
value_added_proxy,0.02248630094487132,0.08574139141742815
sector,0.020334368425623882,0.03730007023712003
selectivity_composite,0.01572887770209496,0.05487330110388359
total_fte,0.006657017076732238,0.0023157315195455495
sal_instr_avg_9mo,0.005751547090963568,0.009207751061260195
stud_fac_ratio,0.004896111914683569,-0.003485281078217628
student_support_intensity,0.0033276183502709946,0.0012522174713849644
total_sal_per_fte,0.003018500845320215,0.002321711191067788
stud_serv_exp_per_fte,0.002868016096505575,0.0009202160911120805
instr_exp_per_fte,0.0024932753451377978,0.0016549372711725185
sal_noninstr_avg,0.0,0.0
total_enrollment_ipeds,0.0,0.0
faculty_fte,0.0,0.0
total_exp,0.0,0.0
total_completions,0.0,0.0
resource_concentration_idx,0.0,0.0
financial_health_idx,0.0,0.0
