feature,shap_mean_abs,perm_importance
pell_pct,0.06049806369935202,0.4218077137152104
instr_exp_per_fte,0.027059813279389024,0.06824178855252605
total_sal_per_fte,0.015116229675085916,0.024340599592515267
value_added_proxy,0.01089436077700851,0.01766351968258
selectivity_composite,0.009542286270483633,0.016504560997672647
financial_health_idx,0.00937796285699855,0.006703892877023376
stud_fac_ratio,0.007903319263212985,0.01108233777097235
sal_instr_avg_9mo,0.005879231176750931,0.01255400897465816
sector,0.005412998669106043,0.005235017776475748
outcome_lag,0.004796735613328549,0.0005309351054737177
student_support_intensity,0.0030745784448661492,0.0015568274716642127
stud_serv_exp_per_fte,0.0029761514479998714,0.002817712245426951
total_completions,0.002961653606674742,0.002663212394596104
total_exp,0.0020627723583771474,-0.001510838499608802
total_fte,0.0020590885970714744,-0.00017216490515485904
total_enrollment_ipeds,0.002030096957617251,0.0020328695099650186
sal_noninstr_avg,0.0016301351093977376,0.003580870116014234
faculty_fte,0.0014843080341185473,0.002918883559267826
resource_concentration_idx,0.0011469999184789055,0.0016650928487881966
