feature,shap_mean_abs,perm_importance
pell_pct,0.06230334069646173,0.43400125727940697
instr_exp_per_fte,0.022499071024705154,0.052435823760939734
value_added_proxy,0.02046031449139936,0.03262054284331465
selectivity_composite,0.016922090607596668,0.03089438773076898
stud_fac_ratio,0.015880841107767718,0.030331443018402904
sal_instr_avg_9mo,0.010398170022464074,0.025883525087991098
total_sal_per_fte,0.008974384136980719,0.013700490792719844
total_completions,0.007531563033881911,0.007846260063337029
sector,0.007415692294659904,0.00766087105078328
total_exp,0.006274389755285009,-0.002686779886556612
financial_health_idx,0.006209931170230768,-0.002360160335828987
stud_serv_exp_per_fte,0.006045763972728902,0.008489375587761116
outcome_lag,0.00598462152657099,0.003365403386818988
faculty_fte,0.0057989418237636365,0.0040760879683085175
total_fte,0.00542266760087107,0.006115772753787441
total_enrollment_ipeds,0.004407792713917231,0.0028789833193672786
sal_noninstr_avg,0.004199860428751385,0.0028868157416516603
resource_concentration_idx,0.003651316660448187,0.0037436904326166196
student_support_intensity,0.0009399548734413849,0.0006154659630745685
