feature,shap_mean_abs,perm_importance
pell_pct,3447.0793114278335,0.2698765941923934
total_completions,2074.764490761591,0.1575136722323948
sal_instr_avg_9mo,1716.928456841301,0.07376803080099081
sector,1453.0561900336086,0.04166728309117555
sal_noninstr_avg,1349.302511840965,0.04266343493157628
total_fte,1191.3150052272752,0.0643484498093052
total_enrollment_ipeds,907.1954153976666,0.03562065859852818
outcome_lag,794.8217013934634,0.010918066921662428
value_added_proxy,770.7509900070028,0.021384723889045797
selectivity_composite,648.3164180881554,0.01702409619783992
total_sal_per_fte,569.703066193731,0.0053594309093538016
financial_health_idx,399.10966452127076,0.0014196021807001858
faculty_fte,369.26094464437017,0.014999793808560114
resource_concentration_idx,365.1048889708622,0.005223133211823505
student_support_intensity,362.8421334232589,-0.004039600915892838
stud_serv_exp_per_fte,362.82368769830106,-0.00403956515643612
total_exp,334.46875935499406,0.002471890426596013
instr_exp_per_fte,237.8661574693534,-0.00044705037231647095
stud_fac_ratio,220.06756933614653,0.003818173852068396
